"Último: Tiempo (s)";"Último: Posición (m)";"Último: Velocidad (m/s)";"Último: Aceleración (m/s²)"
0.025;0.3125416;-0.00243911111111;-0.0474949135802
0.05;0.3125416;-0.00442088888889;-0.0068769382716
0.075;0.3122672;-0.00402453333333;0.041973037037
0.1;0.3122672;-0.00121955555556;0.0522715061728
0.125;0.3122672;-0.000304888888889;0.0196822716049
0.15;0.3122672;-0.000304888888889;-0.0134828641975
0.175;0.3122672;-0.00121955555556;-0.0257461728395
0.2;0.3122672;-0.00335377777778;0.0287950617284
0.225;0.3119928;-0.00152444444444;0.131102222222
0.25;0.3119928;0.00670755555555;0.10332345679
0.275;0.3125416;0.00731733333333;-0.0525086419753
0.3;0.3125416;0.00152444444444;-0.123649382716
0.325;0.3125416;-0.00243911111111;-0.0667367901235
0.35;0.3122672;-0.00121955555556;-0.0121955555556
0.375;0.3125416;-0.00121955555556;-0.0155832098765
0.4;0.3122672;-0.00304888888889;0.00711407407407
0.425;0.3122672;-0.000914666666667;0.0257461728395
0.45;0.3122672;-0.000609777777778;0.0115180246914
0.475;0.3122672;-0.000609777777778;0.00643654320987
0.5;0.3122672;-0.00182933333333;0.0433619753086
0.525;0.3119928;0.002744;0.0392967901235
0.55;0.3125416;0.002744;-0.0535249382716
0.575;0.3122672;-0.00213422222222;-0.0762222222222
0.6;0.3122672;-0.00182933333333;-0.0714795061728
0.625;0.3122672;-0.00487822222222;-0.0836750617284
0.65;0.3119928;-0.00640266666667;-0.0762222222222
0.675;0.3119928;-0.00945155555556;-0.0403130864198
0.7;0.311444;-0.00945155555556;0.0335377777778
0.725;0.311444;-0.00670755555556;0.0745283950617
0.75;0.3111696;-0.00518311111111;0.0948543209877
0.775;0.3111696;-0.00304888888889;0.142281481481
0.8;0.3108952;0.00304888888889;0.15176691358
0.825;0.311444;0.005488;0.127375802469
0.85;0.3111696;0.00792711111111;0.14363654321
0.875;0.3117184;0.01372;0.12906962963
0.9;0.3119928;0.0152444444444;0.0999358024691
0.925;0.3125416;0.0155493333333;0.173447901235
0.95;0.3125416;0.0231715555556;0.265592098765
0.975;0.3136392;0.0332328888889;0.204275555556
1;0.3144624;0.0341475555556;0.109082469136
1.025;0.3152856;0.0368915555556;0.0704632098765
1.05;0.3163832;0.0362817777778;0.0846913580247
1.075;0.316932;0.0414648888889;0.100952098765
1.1;0.3185784;0.0426844444444;0.0809649382716
1.125;0.3191272;0.0426844444444;0.154477037037
1.15;0.3204992;0.0500017777778;0.226295308642
1.175;0.3215968;0.057624;0.174125432099
1.2;0.3235176;0.0609777777778;0.0477659259259
1.225;0.3248896;0.0557946666667;0.061655308642
1.25;0.3259872;0.0612826666667;0.172431604938
1.275;0.327908;0.0682951111111;0.156170864198
1.3;0.3295544;0.0707342222222;0.0745283950617
1.325;0.3314752;0.0710391111111;0.0210034567901
1.35;0.3331216;0.0707342222222;0.0169382716049
1.375;0.3350424;0.0698195555556;0.0887565432099
1.4;0.3364144;0.0756124444444;0.148379259259
1.425;0.338884;0.0798808888889;0.11619654321
1.45;0.3405304;0.0801857777778;0.112470123457
1.475;0.3427256;0.0856737777778;0.0918054320988
1.5;0.3449208;0.0865884444444;0.0193096296296
1.525;0.347116;0.0859786666667;-0.0189708641975
1.55;0.3493112;0.08232;0.0545412345679
1.575;0.3509576;0.0881128888889;0.144991604938
1.6;0.3537016;0.0942106666667;0.0768997530864
1.625;0.3558968;0.0926862222222;-0.0145669135802
1.65;0.3583664;0.0899422222222;0.0182933333333
1.675;0.3602872;0.0911617777778;0.140587654321
1.7;0.3627568;0.0984791111111;0.210373333333
1.725;0.3652264;0.105491555556;0.143975308642
1.75;0.3682448;0.105491555556;0.0680918518519
1.775;0.37044;0.106406222222;0.0724958024691
1.8;0.3734584;0.110674666667;0.0399743209876
1.825;0.3762024;0.107625777778;0.0433619753086
1.85;0.378672;0.110674666667;0.115180246914
1.875;0.3816904;0.114943111111;0.130424691358
1.9;0.3844344;0.118906666667;0.0874014814815
1.925;0.3877272;0.119516444444;0.0382804938272
1.95;0.3904712;0.118296888889;0.0772385185185
1.975;0.3934896;0.122260444444;0.152444444444
2;0.396508;0.128663111111;0.138216296296
2.025;0.4000752;0.130492444444;0.0752059259259
2.05;0.4030936;0.129882666667;0.089095308642
2.075;0.4063864;0.135065777778;0.10162962963
2.1;0.4099536;0.136590222222;0.0674143209877
2.125;0.4132464;0.137504888889;0.0653817283951
2.15;0.4168136;0.138724444444;0.0992582716049
2.175;0.4201064;0.142688;0.124665679012
2.2;0.423948;0.146651555556;0.085707654321
2.225;0.4275152;0.147566222222;0.024052345679
2.25;0.4313568;0.147261333333;-0.0142281481482
2.275;0.434924;0.145127111111;0.0152444444444
2.3;0.4384912;0.147566222222;0.068430617284
2.325;0.4423328;0.149090666667;0.109421234568
2.35;0.4459;0.153054222222;0.148379259259
2.375;0.450016;0.156103111111;0.190047407407
2.4;0.4535832;0.163420444444;0.19038617284
2.425;0.458248;0.167993777778;0.104678518519
2.45;0.4620896;0.168603555556;0.0284562962963
2.475;0.4667544;0.166774222222;0.0477659259259
2.5;0.4703216;0.168603555556;0.148718024691
2.525;0.4749864;0.177140444444;0.149395555556
2.55;0.4793768;0.178969777778;0.0508148148148
2.575;0.4840416;0.177445333333;0.0179545679012
2.6;0.4881576;0.177750222222;0.0623328395062
2.625;0.4928224;0.182323555556;0.0636879012346
2.65;0.4974872;0.180189333333;0.0867239506173
2.675;0.5016032;0.185677333333;0.136861234568
2.7;0.5068168;0.189640888889;0.0965481481481
2.725;0.5112072;0.189640888889;0.0779160493827
2.75;0.5161464;0.193909333333;0.0497985185185
2.775;0.5210856;0.192384888889;0.0243911111111
2.8;0.5257504;0.191775111111;0.108743703704
2.825;0.5304152;0.199397333333;0.142959012346
2.85;0.5359032;0.201531555556;0.0931604938272
2.875;0.540568;0.201531555556;0.112131358025
2.9;0.5457816;0.207324444444;0.113147654321
2.925;0.5509952;0.210373333333;0.0176158024691
2.95;0.5564832;0.207629333333;-0.0474271604938
2.975;0.5614224;0.203360888889;0.0484434567901
3;0.5663616;0.209153777778;0.17920691358
3.025;0.5718496;0.216471111111;0.167011358025
3.05;0.5773376;0.218910222222;0.0955318518519
3.075;0.5828256;0.219824888889;0.0643654320988
3.1;0.5883136;0.220739555556;0.0894340740741
3.125;0.5938016;0.224398222222;0.114502716049
3.15;0.599564;0.226837333333;0.119245432099
3.175;0.605052;0.232020444444;0.068769382716
3.2;0.6113632;0.230496;0.0169382716049
3.225;0.6165768;0.229276444444;0.0874014814815
3.25;0.6226136;0.235069333333;0.152444444444
3.275;0.628376;0.239642666667;0.128392098765
3.3;0.6346872;0.241472;0.0989195061728
3.325;0.6404496;0.242996444444;0.118906666667
3.35;0.6467608;0.247264888889;0.139910123457
3.375;0.6527976;0.251533333333;0.106372345679
3.4;0.6593832;0.254277333333;0.0155832098765
3.425;0.6656944;0.250313777778;-0.0044039506173
3.45;0.6717312;0.252143111111;0.048104691358
3.475;0.6783168;0.253362666667;0.0877402469136
3.5;0.6843536;0.257021333333;0.110437530864
3.525;0.6912136;0.259155555556;0.110437530864
3.55;0.6972504;0.262814222222;0.100274567901
3.575;0.7043848;0.265558222222;0.0494597530864
3.6;0.710696;0.262814222222;0.0836750617284
3.625;0.7172816;0.268607111111;0.148040493827
3.65;0.7241416;0.273180444444;0.110098765432
3.675;0.7310016;0.275924444444;0.0145669135803
3.7;0.738136;0.271656;-0.00169382716047
3.725;0.7444472;0.272265777778;0.108743703704
3.75;0.7515816;0.278668444444;0.167688888889
3.775;0.7584416;0.283546666667;0.120939259259
3.8;0.7658504;0.285071111111;0.0464108641975
3.825;0.7727104;0.285071111111;0.00135506172838
3.85;0.7801192;0.284461333333;-0.00237135802468
3.875;0.7869792;0.282936888889;0.0721570370371
3.9;0.7941136;0.287205333333;0.167688888889
3.925;0.801248;0.294217777778;0.157187160494
3.95;0.8089312;0.297876444444;0.0457333333333
3.975;0.81634;0.294217777778;0.00846913580245
4;0.8234744;0.296047111111;0.05488
4.025;0.8311576;0.297571555556;0.0840138271604
4.05;0.838292;0.301230222222;0.0765609876543
4.075;0.8462496;0.303364444444;0.00846913580245
4.1;0.8536584;0.299400888889;0.0247298765432
4.125;0.8610672;0.300925333333;0.161252345679
4.15;0.868476;0.310072;0.208340740741
4.175;0.876708;0.315255111111;0.113147654321
4.2;0.8843912;0.314645333333;0.0399743209877
4.225;0.8923488;0.316169777778;0.0121955555556
4.25;0.9003064;0.314340444444;0.0318439506173
4.275;0.9079896;0.315864888889;0.110437530864
4.3;0.9159472;0.321962666667;0.108404938272
4.325;0.9241792;0.324706666667;-0.00474271604937
4.35;0.9324112;0.319828444444;-0.0477659259259
4.375;0.9400944;0.317694222222;0.0680918518518
4.4;0.948052;0.323792;0.169382716049
4.425;0.956284;0.330499555556;0.122971851852
4.45;0.9647904;0.330194666667;0.0542024691358
4.475;0.972748;0.330804444444;0.0596227160494
4.5;0.9812544;0.333548444444;0.0609777777778
4.525;0.9894864;0.334463111111;0.0518311111111
4.55;0.9979928;0.335377777778;0.0643654320988
4.575;1.0062248;0.336902222222;0.0985807407408
4.6;1.0147312;0.342085333333;0.0752059259259
4.625;1.023512;0.341170666667;0.0335377777778
4.65;1.031744;0.341780444444;0.0552187654321
4.675;1.0405248;0.344524444444;0.0603002469136
4.7;1.0490312;0.345439111111;0.0518311111111
4.725;1.057812;0.346353777778;0.0643654320988
4.75;1.0663184;0.347878222222;0.0985807407408
4.775;1.0750992;0.353061333333;0.0748671604938
4.8;1.0841544;0.352146666667;0.0315051851851
4.825;1.0926608;0.352756444444;0.0453945679012
4.85;1.101716;0.355195555556;0.0372641975309
4.875;1.1104968;0.355500444444;0.00711407407408
4.9;1.119552;0.353976;0.0254074074074
4.925;1.1280584;0.356415111111;0.065042962963
4.95;1.137388;0.358549333333;0.0941767901234
4.975;1.1461688;0.357329777778;0.251702716049
5;1.1549496;0.367086222222;0.496630123457
5.025;1.1640048;0.392696888889;0.353671111111
5.05;1.1752552;0.394831111111;-0.139910123457
5.075;1.1843104;0.376232888889;-0.313358024691
5.1;1.19364;0.37044;-0.160236049383
5.125;1.2026952;0.369525333333;-0.00440395061729
5.15;1.2120248;0.374098666667;0.0250686419753
5.175;1.2216288;0.371049777778;0.0193096296296
5.2;1.2304096;0.373488888889;0.0542024691358
5.225;1.240288;0.375928;0.0199871604938
5.25;1.2493432;0.374098666667;0.0098241975309
5.275;1.2589472;0.374403555556;0.0640266666667
5.3;1.2680024;0.376537777778;0.137877530864
5.325;1.2776064;0.384464888889;0.10162962963
5.35;1.2874848;0.383550222222;-0.00677530864198
5.375;1.2968144;0.381111111111;-0.0145669135802
5.4;1.3064184;0.382330666667;0.00745283950617
5.425;1.3160224;0.381111111111;0.0538637037037
5.45;1.325352;0.384464888889;0.116535308642
5.475;1.3352304;0.388428444444;0.125004444444
5.5;1.3448344;0.390867555556;0.11619654321
5.525;1.3547128;0.394526222222;0.0890953086419
5.55;1.3645912;0.396965333333;0.0115180246913
5.575;1.374744;0.393306666667;-0.00711407407402
5.6;1.3840736;0.395136;0.0281175308642
5.625;1.3945008;0.396965333333;0.00372641975309
5.65;1.4041048;0.393611555556;0.0392967901234
5.675;1.4139832;0.396965333333;0.131102222222
5.7;1.4238616;0.403063111111;0.128392098765
5.725;1.4342888;0.404892444444;0.0711407407408
5.75;1.4441672;0.404282666667;0.0796098765432
5.775;1.45432;0.409160888889;0.0829975308642
5.8;1.4647472;0.410075555556;0.0386192592592
5.825;1.4749;0.409160888889;0.0301501234568
5.85;1.4850528;0.412819555556;-0.104000987654
5.875;1.49548;0.414039111111;-0.662963950617
5.9;1.5061816;0.392087111111;-1.58169580247
5.925;1.5163344;0.325621333333;-1.96111308642
5.95;1.52292;0.250618666667;-0.657882469136
5.975;1.5264872;0.267997333333;1.53867259259
6;1.5344448;0.359159111111;2.53227160494
6.025;1.544872;0.439344888889;1.77072691358
6.05;1.5580432;0.458857777778;0.444121481481
6.075;1.5687448;0.437820444444;-0.0863851851852
6.1;1.579172;0.437515555556;0.0982419753086
6.125;1.5904224;0.446357333333;0.274908148148
6.15;1.6016728;0.452455111111;0.39144345679
6.175;1.6126488;0.470138666667;0.31840562963
6.2;1.6255456;0.474864444444;0.0199871604939
6.225;1.636796;0.464040888889;-0.231376790123
