angulo, dist, dif1, dif2, dif3, dif4, dif5, d.dif   
0, 1.57,-0.015, 0.065, 0.075, 0.09, NA, 0.01 
5, 1.98,2.5, -0.06, 0.115, 0.085, 0.09, 0.01
10, 2.5,6.5, -0.06, -0.085, NA, NA, 0.01
15, 3.02 ,0.07, -0.07, -0.25, -0.045, -0.065, 0.01
20, 3.52,8, 0, -0.105, NA, NA, 0.01
25, 3.98, 0.105, 0.095, 0.085, 0.05, 0.005, 0.01
30, 4.39, 0.005, -0.001, 0.105, 0.11, NA, 0.01
35, 4.65, 0.05, 0.04, 0.055, 0.04, -0.015, 0.01
40, 4.81, 0.065, 0.055, 0.05, 0.075. 0.01
45. 4.82, 0.015, 0.05. -0.025, -0.045, 0.035, 0.01
60. 4.12, 0.07, 0.09, 0.105, 0.105, NA, 0.01