"Tirada";"Interrupt";"t"
1;1;156
1;2;26724
1;3;46068
1;4;62172
1;5;76596
1;6;89456
1;7;101768
1;8;112652
1;9;124364
1;10;134108
1;11;145136
1;12;154608
2;1;172
2;2;34788
2;3;56544
2;4;74032
2;5;89328
2;6;102860
2;7;115592
2;8;126872
2;9;138944
2;10;148976
2;11;160344
2;12;170040
3;1;156
3;2;35832
3;3;57820
3;4;75328
3;5;90496
3;6;103868
3;7;116628
3;8;127792
3;9;139684
3;10;149448
3;11;159684
3;12;168428
4;1;160
4;2;33676
4;3;55332
4;4;72644
4;5;88000
4;6;101324
4;7;114044
4;8;125192
4;9;137256
4;10;146948
4;11;157304
4;12;166108
5;1;192
5;2;32812
5;3;54672
5;4;71748
5;5;87360
5;6;100516
5;7;113224
5;8;124252
5;9;136252
5;10;148628
5;11;162844
5;12;168748
6;1;172
6;2;34888
6;3;57260
6;4;74640
6;5;90268
6;6;103544
6;7;116264
6;8;127440
6;9;139488
6;10;149288
6;11;159532
6;12;168232
7;1;164
7;2;536
7;3;37376
7;4;59768
7;5;77504
7;6;93024
7;7;106544
7;8;119312
7;9;130644
7;10;142720
7;11;152528
7;12;162864
7;13;171680
8;1;196
8;2;28336
8;3;48180
8;4;64688
8;5;79236
8;6;92244
8;7;104700
8;8;115680
8;9;127516
8;10;137136
8;11;147356
8;12;156084
9;1;168
9;2;32704
9;3;54420
9;4;71516
9;5;87004
9;6;100204
9;7;112856
9;8;123948
9;9;135948
9;10;145612
9;11;155932
9;12;164696
10;1;204
10;2;484
10;3;36840
10;4;59104
10;5;76744
10;6;92148
10;7;105620
10;8;118352
10;9;129584
10;10;141540
10;11;151436
10;12;161620
10;13;170368
11;1;244
11;2;35948
11;3;58052
11;4;75636
11;5;91020
11;6;104456
11;7;117220
11;8;128456
11;9;140500
11;10;150296
11;11;160572
11;12;169380
12;1;244
12;2;29380
12;3;49528
12;4;66208
12;5;80756
12;6;93796
12;7;106248
12;8;117280
12;9;129036
12;10;138756
12;11;149020
12;12;157804
13;1;208
13;2;28016
13;3;47820
13;4;64268
13;5;78836
13;6;91784
13;7;104232
13;8;115120
13;9;126892
13;10;136488
13;11;146620
13;12;155240
14;1;240
14;2;29148
14;3;49560
14;4;66152
14;5;81064
14;6;93984
14;7;106440
14;8;117408
14;9;129280
14;10;138876
14;11;149060
14;12;157668
15;1;204
15;2;29460
15;3;50040
15;4;66700
15;5;81624
15;6;94628
15;7;107100
15;8;118124
15;9;129976
15;10;139568
15;11;149776
15;12;158412
16;1;192
16;2;27252
16;3;47004
16;4;63244
16;5;77860
16;6;90676
16;7;103092
16;8;113944
16;9;125784
16;10;135256
16;11;145516
16;12;154092
17;1;236
17;2;27332
17;3;46776
17;4;63116
17;5;77604
17;6;90528
17;7;102868
17;8;113792
17;9;125552
17;10;135108
17;11;145300
17;12;153956
18;1;204
18;2;652
18;3;1096
18;4;1620
18;5;2140
18;6;2664
18;7;4276
18;8;18808
18;9;28208
19;1;196
19;2;672
19;3;41956
19;4;65180
19;5;83144
19;6;99136
19;7;112820
19;8;125716
19;9;137064
19;10;149556
19;11;159716
19;12;170392
19;13;179472
20;1;236
20;2;31516
20;3;52612
20;4;69564
20;5;84684
20;6;97812
20;7;110396
20;8;121452
20;9;133324
20;10;143008
20;11;153220
20;12;162492
21;1;236
21;2;33284
21;3;54604
21;4;71852
21;5;86984
21;6;100316
21;7;112912
21;8;124052
21;9;136684
21;10;147012
21;11;157928
21;12;167120
22;1;240
22;2;29180
22;3;113492
22;4;114156
22;5;116296
22;6;127980
22;7;137648
22;8;147764
22;9;156444
23;1;204
23;2;760
23;3;631504
23;4;632168
23;5;632828
23;6;633488
23;7;634148
23;8;636600
24;1;236
24;2;28020
24;3;47508
24;4;64004
24;5;78584
24;6;91728
24;7;104160
24;8;115280
24;9;127200
24;10;137032
24;11;147492
24;12;156752
25;1;236
25;2;30500
25;3;50948
25;4;67836
25;5;82648
25;6;95844
25;7;108544
25;8;119680
25;9;131704
25;10;141436
25;11;151784
25;12;160768
26;1;236
26;2;30732
26;3;51832
26;4;68580
26;5;83848
26;6;96744
26;7;109016
26;8;119904
26;9;131628
26;10;141076
26;11;151568
26;12;161100
27;1;204
27;2;492
27;3;30928
27;4;51912
27;5;68748
27;6;83992
27;7;97052
27;8;109508
27;9;120560
27;10;132456
27;11;142076
27;12;152288
27;13;160964
28;1;236
28;2;704
28;3;1092
28;4;42836
28;5;66052
28;6;84080
28;7;99952
28;8;113612
28;9;126596
28;10;137908
28;11;151644
28;12;162960
28;13;174808
28;14;184720
29;1;156
29;2;23896
29;3;42512
29;4;57596
29;5;71684
29;6;83824
29;7;95364
29;8;106508
29;9;120704
29;10;132112
29;11;144108
29;12;154456
30;1;236
30;2;28028
30;3;48060
30;4;64240
30;5;79100
30;6;92208
30;7;105036
30;8;117928
30;9;132792
30;10;144616
30;11;157004
30;12;167412
31;1;236
31;2;588
31;3;38716
31;4;60964
31;5;78828
31;6;94288
31;7;107960
31;8;120848
31;9;132860
31;10;147020
31;11;160084
31;12;173736
31;13;185056
32;1;196
32;2;27920
32;3;47684
32;4;64080
32;5;78592
32;6;91472
32;7;103932
32;8;114800
32;9;126536
32;10;136184
32;11;146216
32;12;154856
33;1;160
33;2;26344
33;3;45684
33;4;61712
33;5;76216
33;6;88964
33;7;101264
33;8;112068
33;9;123836
33;10;133284
33;11;143440
33;12;152040
34;1;232
34;2;504
34;3;37468
34;4;59940
34;5;77640
34;6;93412
34;7;106896
34;8;119768
34;9;130972
34;10;143128
34;11;153564
34;12;164808
34;13;174248
35;1;204
35;2;27996
35;3;47944
35;4;64364
35;5;79016
35;6;91924
35;7;104368
35;8;115284
35;9;127092
35;10;136672
35;11;146836
35;12;155444
36;1;160
36;2;26652
36;3;46168
36;4;62244
36;5;76756
36;6;89508
36;7;101752
36;8;112572
36;9;124248
36;10;133748
36;11;143764
36;12;152400
37;1;196
37;2;28260
37;3;48388
37;4;64800
37;5;79612
37;6;92516
37;7;104952
37;8;115840
37;9;127664
37;10;137236
37;11;147416
37;12;156016
38;1;236
38;2;30904
38;3;51908
38;4;68772
38;5;83972
38;6;97060
38;7;109724
38;8;120728
38;9;132736
38;10;143244
38;11;154860
38;12;164536
39;1;200
39;2;26284
39;3;45948
39;4;61852
39;5;76576
39;6;89200
39;7;101560
39;8;112292
39;9;124144
39;10;133496
39;11;143716
39;12;152236
40;1;200
40;2;32236
40;3;53916
40;4;70876
40;5;86384
40;6;99508
40;7;111936
40;8;123240
40;9;136112
40;10;146988
40;11;158720
40;12;168648
41;1;196
41;2;30328
41;3;51148
41;4;67840
41;5;82676
41;6;95688
41;7;108240
41;8;119160
41;9;130904
41;10;140492
41;11;150536
41;12;159132
42;1;160
42;2;26600
42;3;46252
42;4;62236
42;5;76812
42;6;89464
42;7;101628
42;8;112332
42;9;123864
42;10;133232
42;11;143120
42;12;152716
43;1;196
43;2;28068
43;3;48112
43;4;64460
43;5;79152
43;6;92048
43;7;104484
43;8;115328
43;9;127156
43;10;136736
43;11;146856
43;12;155444
44;1;160
44;2;24472
44;3;42940
44;4;58540
44;5;72464
44;6;84952
44;7;97176
44;8;107860
44;9;119364
44;10;128756
44;11;138800
44;12;147276
45;1;160
45;2;26024
45;3;45560
45;4;61512
45;5;76136
45;6;88756
45;7;101028
45;8;111772
45;9;123484
45;10;132980
45;11;143020
45;12;151576
46;1;204
46;2;28784
46;3;49356
46;4;65868
46;5;80696
46;6;93648
46;7;106080
46;8;116988
46;9;128728
46;10;138280
46;11;148424
46;12;157052
47;1;200
47;2;36236
47;3;58708
47;4;76252
47;5;91856
47;6;105220
47;7;117928
47;8;129112
47;9;141120
47;10;150948
47;11;161060
47;12;169780
48;1;200
48;2;30912
48;3;51620
48;4;68596
48;5;83448
48;6;96576
48;7;109264
48;8;120288
48;9;132216
48;10;141816
48;11;152124
48;12;160792
49;1;240
49;2;30292
49;3;51248
49;4;67976
49;5;82984
49;6;96016
49;7;108472
49;8;119428
49;9;131220
49;10;140864
49;11;150904
49;12;159532
50;1;208
50;2;31896
50;3;53196
50;4;70204
50;5;85448
50;6;98600
50;7;111240
50;8;122320
50;9;134332
50;10;143976
50;11;154288
50;12;162996
51;1;200
51;2;27752
51;3;47636
51;4;63976
51;5;78724
51;6;91560
51;7;104004
51;8;114860
51;9;126768
51;10;136260
51;11;146524
51;12;155092
52;1;196
52;2;25300
52;3;44512
52;4;60348
52;5;75100
52;6;87872
52;7;100396
52;8;111508
52;9;123940
52;10;133940
52;11;144536
52;12;153468
53;1;164
53;2;26680
53;3;46096
53;4;62220
53;5;76696
53;6;89480
53;7;101776
53;8;112596
53;9;124336
53;10;133824
53;11;143964
53;12;152556
54;1;240
54;2;34904
54;3;57096
54;4;74440
54;5;90116
54;6;103440
54;7;116028
54;8;127132
54;9;139044
54;10;149624
54;11;161220
54;12;171304
55;1;208
55;2;31948
55;3;53156
55;4;70124
55;5;85264
55;6;98380
55;7;110924
55;8;121952
55;9;133748
55;10;143364
55;11;153456
55;12;162112
56;1;196
56;2;29548
56;3;50212
56;4;66820
56;5;81984
56;6;94968
56;7;107648
56;8;118600
56;9;130616
56;10;141784
56;11;154100
56;12;163736
57;1;196
57;2;27668
57;3;47472
57;4;63788
57;5;78324
57;6;91176
57;7;103660
57;8;114520
57;9;126296
57;10;135816
57;11;145980
57;12;154620
58;1;240
58;2;31880
58;3;52880
58;4;69976
58;5;85068
58;6;98352
58;7;111008
58;8;122076
58;9;134124
58;10;143756
58;11;154112
58;12;162816
59;1;244
59;2;29676
59;3;50556
59;4;67168
59;5;82364
59;6;95280
59;7;107744
59;8;118696
59;9;130524
59;10;140128
59;11;150188
59;12;158792
60;1;204
60;2;28616
60;3;49200
60;4;65540
60;5;80376
60;6;93252
60;7;105708
60;8;116564
60;9;128296
60;10;137788
60;11;147812
60;12;156320
61;1;204
61;2;36364
61;3;58756
61;4;76352
61;5;91928
61;6;105360
61;7;118192
61;8;129412
61;9;141504
61;10;151336
61;11;161640
61;12;170408
62;1;204
62;2;29984
62;3;50892
62;4;67564
62;5;82648
62;6;95608
62;7;108128
62;8;119096
62;9;130940
62;10;140512
62;11;150672
62;12;159344
63;1;232
63;2;31968
63;3;53236
63;4;70280
63;5;85496
63;6;98668
63;7;111348
63;8;122440
63;9;134416
63;10;144060
63;11;154392
63;12;163120
64;1;200
64;2;31940
64;3;53316
64;4;70340
64;5;85532
64;6;98724
64;7;111316
64;8;122360
64;9;134260
64;10;143932
64;11;154104
64;12;162800
65;1;244
65;2;33956
65;3;55792
65;4;73052
65;5;88652
65;6;101888
65;7;114656
65;8;125740
65;9;137804
65;10;147500
65;11;157840
65;12;166572
66;1;200
66;2;27104
66;3;46860
66;4;62992
66;5;77672
66;6;90428
66;7;102884
66;8;113636
66;9;125488
66;10;134964
66;11;145160
66;12;153644
67;1;200
67;2;26584
67;3;46380
67;4;62424
67;5;77280
67;6;89952
67;7;102204
67;8;112956
67;9;124704
67;10;134172
67;11;144244
67;12;152804
68;1;204
68;2;27604
68;3;47432
68;4;63748
68;5;78436
68;6;91288
68;7;103608
68;8;114504
68;9;126300
68;10;135788
68;11;145956
68;12;154600
69;1;196
69;2;28772
69;3;49172
69;4;65640
69;5;80532
69;6;93460
69;7;105940
69;8;116828
69;9;128640
69;10;138284
69;11;148348
69;12;156964
70;1;204
70;2;30408
70;3;51484
70;4;68272
70;5;83552
70;6;96536
70;7;109148
70;8;120088
70;9;132088
70;10;141672
70;11;151952
70;12;160592
71;1;240
71;2;29840
71;3;50480
71;4;67168
71;5;82180
71;6;95208
71;7;107764
71;8;118724
71;9;130672
71;10;140248
71;11;150552
71;12;159120
72;1;232
72;2;28852
72;3;48972
72;4;65544
72;5;80376
72;6;93336
72;7;105808
72;8;116756
72;9;128620
72;10;138196
72;11;148412
72;12;157072
73;1;208
73;2;27168
73;3;47084
73;4;63244
73;5;78096
73;6;90844
73;7;103280
73;8;114064
73;9;125924
73;10;135428
73;11;145620
73;12;154476
74;1;204
74;2;25712
74;3;45000
74;4;60820
74;5;75400
74;6;87916
74;7;100252
74;8;110904
74;9;122772
74;10;132052
74;11;142288
74;12;150696
75;1;200
75;2;28960
75;3;49576
75;4;66100
75;5;81152
75;6;94040
75;7;106584
75;8;117496
75;9;129436
75;10;138928
75;11;149228
75;12;157832
76;1;196
76;2;26628
76;3;46220
76;4;62292
76;5;77064
76;6;89756
76;7;102016
76;8;112824
76;9;124516
76;10;134052
76;11;144168
76;12;152852
77;1;204
77;2;29116
77;3;49516
77;4;66124
77;5;80976
77;6;93936
77;7;106364
77;8;117328
77;9;129096
77;10;138684
77;11;148804
77;12;157480
78;1;244
78;2;32396
78;3;53624
78;4;70776
78;5;85968
78;6;99212
78;7;111840
78;8;122980
78;9;134964
78;10;144672
78;11;154932
78;12;163652
79;1;156
79;2;26948
79;3;46500
79;4;62644
79;5;77256
79;6;90056
79;7;102352
79;8;113156
79;9;124960
79;10;134424
79;11;144584
79;12;153124
80;1;156
80;2;22884
80;3;40412
80;4;55564
80;5;69128
80;6;81424
80;7;93528
80;8;104016
80;9;115552
80;10;124848
80;11;134876
80;12;143268
81;1;120
81;2;23496
81;3;41788
81;4;57076
81;5;71124
81;6;83456
81;7;95544
81;8;106048
81;9;117636
81;10;126944
81;11;136932
81;12;145324
82;1;200
82;2;25768
82;3;44612
82;4;60644
82;5;74804
82;6;87584
82;7;99668
82;8;110536
82;9;122056
82;10;131548
82;11;141572
82;12;150180
83;1;80
83;2;20268
83;3;36884
83;4;51184
83;5;64508
83;6;76300
83;7;88024
83;8;98164
83;9;109524
83;10;118588
83;11;128404
83;12;136584
84;1;236
84;2;28560
84;3;48948
84;4;65376
84;5;80232
84;6;93116
84;7;105588
84;8;116464
84;9;128340
84;10;137916
84;11;148072
84;12;156656
85;1;152
85;2;25768
85;3;45264
85;4;61116
85;5;75852
85;6;88348
85;7;100820
85;8;111444
85;9;123356
85;10;132756
85;11;143184
85;12;152080
86;1;240
86;2;30516
86;3;51828
86;4;68552
86;5;84108
86;6;97060
86;7;109728
86;8;120612
86;9;132632
86;10;142200
86;11;152616
86;12;161252
87;1;164
87;2;29048
87;3;49368
87;4;65920
87;5;80760
87;6;93676
87;7;106284
87;8;117168
87;9;129060
87;10;138612
87;11;148860
87;12;157468
88;1;196
88;2;35264
88;3;57332
88;4;74800
88;5;90352
88;6;103720
88;7;116468
88;8;127668
88;9;139724
88;10;149464
88;11;159792
88;12;168588
89;1;208
89;2;26900
89;3;46480
89;4;62664
89;5;77264
89;6;90076
89;7;102500
89;8;113368
89;9;125200
89;10;134712
89;11;144896
89;12;153544
90;1;156
90;2;22936
90;3;40876
90;4;56060
90;5;70000
90;6;82220
90;7;94100
90;8;104632
90;9;116052
90;10;125424
90;11;135212
90;12;143632
91;1;164
91;2;27372
91;3;47132
91;4;63364
91;5;77988
91;6;90776
91;7;103240
91;8;114044
91;9;125868
91;10;135364
91;11;145568
91;12;154108
92;1;196
92;2;24928
92;3;43792
92;4;59412
92;5;73632
92;6;86132
92;7;98504
92;8;109148
92;9;120880
92;10;130200
92;11;140424
92;12;148816
93;1;164
93;2;24632
93;3;43692
93;4;59224
93;5;73684
93;6;86096
93;7;98368
93;8;108940
93;9;120636
93;10;130012
93;11;140064
93;12;148468
94;1;196
94;2;29376
94;3;49996
94;4;66624
94;5;81636
94;6;94588
94;7;107088
94;8;118060
94;9;129976
94;10;139532
94;11;149780
94;12;158428
95;1;236
95;2;30596
95;3;51444
95;4;68284
95;5;83400
95;6;96488
95;7;109120
95;8;120080
95;9;132140
95;10;141688
95;11;152068
95;12;160712
96;1;192
96;2;26296
96;3;45696
96;4;61668
96;5;75996
96;6;88648
96;7;101032
96;8;111760
96;9;123400
96;10;132932
96;11;142836
96;12;151380
97;1;200
97;2;29200
97;3;49744
97;4;66360
97;5;81432
97;6;94416
97;7;106920
97;8;117884
97;9;129796
97;10;139380
97;11;149612
97;12;158300
98;1;204
98;2;28572
98;3;48800
98;4;65252
98;5;80180
98;6;93076
98;7;105540
98;8;116484
98;9;128388
98;10;137900
98;11;148168
98;12;156784
99;1;204
99;2;26928
99;3;46292
99;4;62488
99;5;76904
99;6;89736
99;7;102132
99;8;112968
99;9;124688
99;10;134264
99;11;144312
99;12;152884
100;1;164
100;2;26040
100;3;44912
100;4;60928
100;5;75232
100;6;87932
100;7;100320
100;8;111132
100;9;122896
100;10;132368
100;11;142548
100;12;151080
101;1;288
101;2;32720
101;3;53640
101;4;70904
101;5;85748
101;6;99176
101;7;111884
101;8;123088
101;9;135048
101;10;145028
101;11;155268
101;12;164128
102;1;196
102;2;24904
102;3;43312
102;4;59092
102;5;73028
102;6;85632
102;7;97840
102;8;108556
102;9;120124
102;10;129524
102;11;139600
102;12;148096
103;1;236
103;2;29016
